bed;true
;true
Instruments de musique et Sono;true
trumpet;false
remote;false
Lantern;false
bijoux femme;false
panier chien;false
enceinte bluetooth jbl;true
horse;false
rose eternelle sous cloche;false
bicycle;false
tennis racket;false
vitamine c;false
Animalerie;false
Bijoux homme;false
mistletoe;false
chat;false
iphone 13 pro max;false
photograph;false
vase;false
pizza;false
Chaussures et Sacs;false
teddy bear;false
cup;false
Boutique Kindle;false
valise;false
Jardin;false
pipe;false
Livres;false
truck;false
tapis de souris;false
spade;false
fog ;false
bear;false
gates ;false
umbrella;false
bowl;false
jouet chien;false
keyboard;false
cat;false
coque iphone 13 pro max;false
enceinte bluetooth;false
fire hydrant;false
broccoli;false
jogging homme;false
skateboard;false
giraffe;false
make Up;false
tv;false
bones ;false
ladder;false
crown;false
pumpkin;false
window;false
coin;false
montre connectée femme;false
ecouteurs bluetooth sans fil;false
support telephone voiture;false
Bijoux;false
veilleuse;false
Montres;false
zebra;false
Vêtements;false
Fournitures de bureau;false
ordinateur portable;false
seche cheveux;false
Bébé et Puériculture;false
lampe torche;false
aspirateur sans sac;false
bracelet apple watch;false
key;false
carrot;false
blender;false
nintendo switch lite;false
diffuseur huiles essentielles;false
bus;false
ring light;false
desk;false
Auto et Moto;false
coque iphone 11;false
angel;false
verre trempé iphone 11;false
street sign;false
cow;false
drap housse 140x190;false
book;false
sac a dos;false
sheep;false
weapons;false
door;false
airplane;false
motorcycle;false
elephant;false
booster batterie voiture;false
briefcase;false
bulb;false
butterfly;false
shell;false
Hygiène et Santé;false
horseshoe;false
Jeux vidéo;false
jeux switch;false
water;false
nespresso machine a café;false
Luminaires et Éclairage;false
clock;false
disque dur externe;false
Sports et Loisirs;false
parasol;false
baseball glove;false
feather;false
veste chauffante homme;false
nintendo switch;false
usb c;false
apple;false
train;false
bible ;false
spoon;false
chair;false
Epicerie;false
Téléchargement de Musique;false
Gros électroménager;false
telephone portable;false
couch;false
ballon;false
Beauté et Parfum;false
Livres et œuvres originales Audible;false
car;false
ecran pc;false
laptop;false
potted plant;false
baseball bat;false
Appareils Amazon et Accessoires;false
wrist watch	;false
handbag;false
harry potter;false
hearth;false
gavel;false
person;false
jean homme;false
apple	;false
torch ;true
boat;false
xiaomi redmi note 11;false
pc;false
tee shirt homme;false
boxer homme;false
suitcase;false
fork;false
led;false
cake;false
orange;false
banana;false
CD et Vinyles;false
switch;false
collier anti aboiement chien;false
storm;false
Applis et Jeux;false
diamond painting;false
manette switch;false
chaussures de sécurité hommes;false
shoe;false
Produits Handmade;false
cell phone;false
chien;false
Bijoux enfant;false
arrow;false
sports ball;false
housse de couette 220x240;false
toilet;false
tondeuse cheveux hommes;true
traffic light;false
Jeux et Jouets;false
plate;false
knife;false
Bagages;false
apple watch serie 7;false
bouilloire electrique;false
diamond painting personnalisé;false
brosse à dent électrique;false
four-leaf clover;false
frisbee;true
hair brush;false
macbook air;false
t shirt homme;false
samsung a12;true
vernis semi permanent;false
kite;false
coque iphone 12;false
hourglasses;false
toaster;false
pc gamer;false
snow ;false
compass;false
tableau blanc;false
flowers;false
legging de sport femme;false
snowboard;false
backpack;false
pen ;false
balance de cuisine;false
toothbrush;false
Informatique;false
matelas 140x190;false
pram;false
bench;false
anchor;false
piano ;false
stars ;false
Porte clés;false
eye glasses;false
candle;false
dog;false
amazon;false
bird;false
lego star wars;false
lego;false
Cuisine et Maison;false
manette ps4;false
Cadre;false
veilleuse enfant;false
bell;false
zelda breath of the wild switch;false
imprimante;false
coque iphone 13;false
hot dog;false
Décoration;false
delonghi;false
dining table;false
Déguisement;false
grille pain;false
aspirateur sans fil;false
stop sign;false
masque enfant;false
donut;false
hammer;false
camera;false
olive branch;false
purse ;false
iphone 12 pro max;false
scissors;false
iphone 13 pro;false
parking meter;false
lego harry potter;false
skis;false
mouse;false
rope;false
kindle paperwhite 2021;false
xiaomi redmi note 10 pro;false
High-Tech;false
cartouche hp 302;false
souris sans fil;false
tie;true
Bricolage;false
gourde enfant;false
coffin;false
DVD et Blu-ray;false
refrigerator;false
humidificateur d'air;false
harp;false
Bijoux femme;false
jouet chat;false
dove ;false
pet ;false
oculus quest 2;false
microwave;false
wine glass;false
harnais chien;false
leader;false
sandwich;false
surfboard;true
montre connectée homme;false
macbook pro;false
seed ;false
urn ;false
staff;false
sac isotherme repas;false
chain ;false
hat;false
leggings femme;false
drap housse 160 x 200;false
multiprise electrique;false
xiaomi redmi note 10;false
mirror;false
bottle;false
hair drier;false
batterie externe;false
Livres anglais et étrangers;false
bureau;false
aspirateur;false
knot;false
sink;false
clouds;false
oven;false


